33 , mapped-by-core , 4096 x 4096 , 0.0543759 , 8.91685e-05 , 0.04526 , 0.0997281
33 , mapped-by-core , 4096 x 4096 , 0.0681741 , 9.08375e-05 , 0.0589001 , 0.127166
33 , mapped-by-core , 4096 x 4096 , 0.0949891 , 6.98566e-05 , 0.096087 , 0.191147
33 , mapped-by-core , 4096 x 4096 , 0.0853131 , 6.79493e-05 , 0.0560501 , 0.141431
33 , mapped-by-core , 4096 x 4096 , 0.0603549 , 8.60691e-05 , 0.0526459 , 0.113087
34 , mapped-by-core , 4096 x 4096 , 0.105256 , 8.29697e-05 , 0.0975389 , 0.202881
34 , mapped-by-core , 4096 x 4096 , 0.071239 , 8.39233e-05 , 0.07549 , 0.146814
34 , mapped-by-core , 4096 x 4096 , 0.098691 , 8.4877e-05 , 0.0960391 , 0.194816
34 , mapped-by-core , 4096 x 4096 , 0.0705309 , 8.41618e-05 , 0.060545 , 0.131161
34 , mapped-by-core , 4096 x 4096 , 0.0768502 , 8.89301e-05 , 0.068737 , 0.145676
35 , mapped-by-core , 4096 x 4096 , 0.090919 , 8.70228e-05 , 0.075649 , 0.166656
35 , mapped-by-core , 4096 x 4096 , 0.104449 , 9.20296e-05 , 0.217414 , 0.321955
35 , mapped-by-core , 4096 x 4096 , 0.108508 , 9.10759e-05 , 0.0818009 , 0.190402
35 , mapped-by-core , 4096 x 4096 , 0.115679 , 8.79765e-05 , 0.0781031 , 0.193872
35 , mapped-by-core , 4096 x 4096 , 0.109281 , 8.4877e-05 , 0.0970681 , 0.206434
36 , mapped-by-core , 4096 x 4096 , 0.123917 , 8.98838e-05 , 0.0890331 , 0.213041
36 , mapped-by-core , 4096 x 4096 , 0.101317 , 9.20296e-05 , 0.0892091 , 0.19062
36 , mapped-by-core , 4096 x 4096 , 0.128448 , 8.60691e-05 , 0.114717 , 0.243252
36 , mapped-by-core , 4096 x 4096 , 0.125878 , 8.2016e-05 , 0.106101 , 0.232064
36 , mapped-by-core , 4096 x 4096 , 0.12541 , 8.79765e-05 , 0.0987291 , 0.224228
37 , mapped-by-core , 4096 x 4096 , 0.296014 , 9.20296e-05 , 0.138984 , 0.435092
37 , mapped-by-core , 4096 x 4096 , 0.13192 , 9.01222e-05 , 0.121141 , 0.253152
37 , mapped-by-core , 4096 x 4096 , 0.120314 , 8.70228e-05 , 0.114707 , 0.235109
37 , mapped-by-core , 4096 x 4096 , 0.121246 , 9.29832e-05 , 0.109172 , 0.230512
37 , mapped-by-core , 4096 x 4096 , 0.153945 , 6.69956e-05 , 0.142668 , 0.296681
38 , mapped-by-core , 4096 x 4096 , 0.126417 , 8.89301e-05 , 0.116517 , 0.243025
38 , mapped-by-core , 4096 x 4096 , 0.149598 , 9.29832e-05 , 0.126733 , 0.276426
38 , mapped-by-core , 4096 x 4096 , 0.143263 , 8.89301e-05 , 0.131504 , 0.274857
38 , mapped-by-core , 4096 x 4096 , 0.127988 , 6.41346e-05 , 0.131731 , 0.259783
38 , mapped-by-core , 4096 x 4096 , 0.135013 , 6.79493e-05 , 0.130015 , 0.265098
39 , mapped-by-core , 4096 x 4096 , 1.05833 , 8.89301e-05 , 0.206048 , 1.26447
39 , mapped-by-core , 4096 x 4096 , 0.148099 , 8.60691e-05 , 0.138438 , 0.286626
39 , mapped-by-core , 4096 x 4096 , 0.226009 , 9.39369e-05 , 0.18606 , 0.412165
39 , mapped-by-core , 4096 x 4096 , 0.211959 , 8.82149e-05 , 0.127426 , 0.339475
39 , mapped-by-core , 4096 x 4096 , 0.481838 , 9.08375e-05 , 0.371107 , 0.853037
40 , mapped-by-core , 4096 x 4096 , 0.159622 , 9.20296e-05 , 0.137894 , 0.297609
40 , mapped-by-core , 4096 x 4096 , 0.64637 , 9.20296e-05 , 0.273699 , 0.920163
40 , mapped-by-core , 4096 x 4096 , 0.152907 , 9.5129e-05 , 0.144562 , 0.297565
40 , mapped-by-core , 4096 x 4096 , 0.158879 , 8.89301e-05 , 0.139036 , 0.298005
40 , mapped-by-core , 4096 x 4096 , 0.163191 , 9.48906e-05 , 0.170032 , 0.333319
41 , mapped-by-core , 4096 x 4096 , 0.171733 , 9.29832e-05 , 0.152611 , 0.324437
41 , mapped-by-core , 4096 x 4096 , 0.197024 , 9.799e-05 , 0.259087 , 0.45621
41 , mapped-by-core , 4096 x 4096 , 0.304965 , 9.20296e-05 , 0.184413 , 0.489471
41 , mapped-by-core , 4096 x 4096 , 0.198873 , 8.79765e-05 , 0.292901 , 0.491864
41 , mapped-by-core , 4096 x 4096 , 0.170238 , 9.48906e-05 , 0.195904 , 0.366238
42 , mapped-by-core , 4096 x 4096 , 0.180149 , 8.89301e-05 , 0.171658 , 0.351898
42 , mapped-by-core , 4096 x 4096 , 0.237275 , 8.79765e-05 , 0.243892 , 0.481256
42 , mapped-by-core , 4096 x 4096 , 0.258829 , 9.70364e-05 , 0.161403 , 0.420329
42 , mapped-by-core , 4096 x 4096 , 0.195714 , 9.89437e-05 , 0.173522 , 0.369337
42 , mapped-by-core , 4096 x 4096 , 0.179065 , 9.89437e-05 , 0.185209 , 0.364375
43 , mapped-by-core , 4096 x 4096 , 0.344556 , 9.20296e-05 , 0.172344 , 0.516993
43 , mapped-by-core , 4096 x 4096 , 0.220155 , 8.70228e-05 , 0.179457 , 0.3997
43 , mapped-by-core , 4096 x 4096 , 0.250027 , 9.20296e-05 , 0.272366 , 0.522485
43 , mapped-by-core , 4096 x 4096 , 0.189653 , 0.000102043 , 0.182283 , 0.372039
43 , mapped-by-core , 4096 x 4096 , 0.640213 , 9.17912e-05 , 0.425086 , 1.06539
44 , mapped-by-core , 4096 x 4096 , 0.2258 , 9.20296e-05 , 0.186468 , 0.41236
44 , mapped-by-core , 4096 x 4096 , 0.333719 , 9.5129e-05 , 0.182924 , 0.51674
44 , mapped-by-core , 4096 x 4096 , 0.237989 , 9.70364e-05 , 0.227646 , 0.465732
44 , mapped-by-core , 4096 x 4096 , 0.202993 , 0.000105143 , 0.188296 , 0.391394
44 , mapped-by-core , 4096 x 4096 , 0.212265 , 9.29832e-05 , 0.186228 , 0.398587
45 , mapped-by-core , 4096 x 4096 , 0.205073 , 8.98838e-05 , 0.194693 , 0.399858
45 , mapped-by-core , 4096 x 4096 , 0.213454 , 9.799e-05 , 0.219971 , 0.433524
45 , mapped-by-core , 4096 x 4096 , 0.219066 , 8.60691e-05 , 0.188298 , 0.40745
45 , mapped-by-core , 4096 x 4096 , 0.209321 , 7.29561e-05 , 0.187014 , 0.396408
45 , mapped-by-core , 4096 x 4096 , 0.224264 , 7.60555e-05 , 0.194204 , 0.418545
46 , mapped-by-core , 4096 x 4096 , 0.217358 , 9.48906e-05 , 0.217773 , 0.435227
46 , mapped-by-core , 4096 x 4096 , 0.265644 , 9.98974e-05 , 0.252946 , 0.518691
46 , mapped-by-core , 4096 x 4096 , 0.217243 , 0.000108004 , 0.209831 , 0.427183
46 , mapped-by-core , 4096 x 4096 , 0.226398 , 0.000101089 , 0.195991 , 0.422492
46 , mapped-by-core , 4096 x 4096 , 0.216321 , 0.000100136 , 0.225975 , 0.442398
47 , mapped-by-core , 4096 x 4096 , 0.348828 , 9.20296e-05 , 0.235107 , 0.584028
47 , mapped-by-core , 4096 x 4096 , 0.366017 , 9.60827e-05 , 0.211095 , 0.57721
47 , mapped-by-core , 4096 x 4096 , 0.327171 , 0.000101805 , 0.258614 , 0.585888
47 , mapped-by-core , 4096 x 4096 , 0.22781 , 9.67979e-05 , 0.216685 , 0.444593
47 , mapped-by-core , 4096 x 4096 , 0.246374 , 0.000105143 , 0.209971 , 0.456454
48 , mapped-by-core , 4096 x 4096 , 0.57086 , 9.60827e-05 , 0.34693 , 0.917887
48 , mapped-by-core , 4096 x 4096 , 0.274944 , 9.58443e-05 , 0.23868 , 0.513721
48 , mapped-by-core , 4096 x 4096 , 0.25087 , 7.79629e-05 , 0.230675 , 0.481624
48 , mapped-by-core , 4096 x 4096 , 0.267084 , 9.5129e-05 , 0.239519 , 0.5067
48 , mapped-by-core , 4096 x 4096 , 0.236628 , 9.70364e-05 , 0.228594 , 0.465321
49 , mapped-by-core , 4096 x 4096 , 0.239797 , 9.5129e-05 , 0.23902 , 0.478912
49 , mapped-by-core , 4096 x 4096 , 0.239314 , 9.39369e-05 , 0.226131 , 0.46554
49 , mapped-by-core , 4096 x 4096 , 0.360971 , 0.00010705 , 0.255423 , 0.616503
49 , mapped-by-core , 4096 x 4096 , 0.25328 , 0.000109911 , 0.228058 , 0.48145
49 , mapped-by-core , 4096 x 4096 , 0.233615 , 9.60827e-05 , 0.227897 , 0.461608
50 , mapped-by-core , 4096 x 4096 , 0.251645 , 0.000101089 , 0.236455 , 0.488201
50 , mapped-by-core , 4096 x 4096 , 0.246249 , 9.98974e-05 , 0.237561 , 0.483914
50 , mapped-by-core , 4096 x 4096 , 0.275123 , 9.799e-05 , 0.246031 , 0.521253
50 , mapped-by-core , 4096 x 4096 , 0.238452 , 0.000101089 , 0.234556 , 0.473111
50 , mapped-by-core , 4096 x 4096 , 0.257592 , 0.000102043 , 0.242838 , 0.500533
51 , mapped-by-core , 4096 x 4096 , 0.258186 , 0.000101805 , 0.239423 , 0.497714
51 , mapped-by-core , 4096 x 4096 , 0.297372 , 7.70092e-05 , 0.296004 , 0.593454
51 , mapped-by-core , 4096 x 4096 , 0.324261 , 0.000105858 , 0.254562 , 0.578932
51 , mapped-by-core , 4096 x 4096 , 0.252248 , 9.41753e-05 , 0.235146 , 0.487489
51 , mapped-by-core , 4096 x 4096 , 0.326131 , 9.98974e-05 , 0.232537 , 0.558771
52 , mapped-by-core , 4096 x 4096 , 0.284291 , 9.91821e-05 , 0.251511 , 0.535903
52 , mapped-by-core , 4096 x 4096 , 0.268721 , 0.000102043 , 0.240781 , 0.509605
52 , mapped-by-core , 4096 x 4096 , 0.32871 , 9.20296e-05 , 0.341883 , 0.670685
