33 , mapped-by-core , 8192 x 8192 , 0.223636 , 9.10759e-05 , 0.171883 , 0.395612
33 , mapped-by-core , 8192 x 8192 , 0.213674 , 9.5129e-05 , 0.148057 , 0.361827
33 , mapped-by-core , 8192 x 8192 , 0.214766 , 9.58443e-05 , 0.143863 , 0.358728
33 , mapped-by-core , 8192 x 8192 , 0.203447 , 8.91685e-05 , 0.149386 , 0.352923
33 , mapped-by-core , 8192 x 8192 , 0.193955 , 0.000102997 , 0.151378 , 0.345436
34 , mapped-by-core , 8192 x 8192 , 0.27253 , 0.00010705 , 0.201688 , 0.474326
34 , mapped-by-core , 8192 x 8192 , 0.458308 , 9.60827e-05 , 0.304086 , 0.762491
34 , mapped-by-core , 8192 x 8192 , 0.264371 , 9.29832e-05 , 0.197316 , 0.461783
34 , mapped-by-core , 8192 x 8192 , 0.290955 , 9.41753e-05 , 0.283873 , 0.574923
34 , mapped-by-core , 8192 x 8192 , 0.257361 , 9.17912e-05 , 0.211987 , 0.469442
35 , mapped-by-core , 8192 x 8192 , 0.30387 , 9.91821e-05 , 0.271053 , 0.575023
35 , mapped-by-core , 8192 x 8192 , 0.400571 , 0.000101089 , 0.310945 , 0.71162
35 , mapped-by-core , 8192 x 8192 , 0.320529 , 8.2016e-05 , 0.265242 , 0.585854
35 , mapped-by-core , 8192 x 8192 , 1.22037 , 9.98974e-05 , 0.462725 , 1.68319
35 , mapped-by-core , 8192 x 8192 , 0.308477 , 9.799e-05 , 0.265196 , 0.573772
36 , mapped-by-core , 8192 x 8192 , 0.518671 , 0.000102997 , 0.324447 , 0.843222
36 , mapped-by-core , 8192 x 8192 , 0.387531 , 0.000109911 , 0.318748 , 0.70639
36 , mapped-by-core , 8192 x 8192 , 0.366312 , 0.000103951 , 0.324213 , 0.690631
36 , mapped-by-core , 8192 x 8192 , 0.370918 , 0.00011611 , 0.319295 , 0.69033
36 , mapped-by-core , 8192 x 8192 , 0.614217 , 0.000100136 , 0.500034 , 1.11435
37 , mapped-by-core , 8192 x 8192 , 0.787409 , 0.000102997 , 0.459558 , 1.24707
37 , mapped-by-core , 8192 x 8192 , 0.431369 , 0.000104904 , 0.381164 , 0.81264
37 , mapped-by-core , 8192 x 8192 , 0.418659 , 0.000102043 , 0.370872 , 0.789634
37 , mapped-by-core , 8192 x 8192 , 0.412114 , 0.000109911 , 0.37116 , 0.783386
37 , mapped-by-core , 8192 x 8192 , 0.45657 , 0.000108957 , 0.509363 , 0.966044
38 , mapped-by-core , 8192 x 8192 , 0.478691 , 9.98974e-05 , 0.431267 , 0.910061
38 , mapped-by-core , 8192 x 8192 , 0.457248 , 0.000103951 , 0.426308 , 0.883663
38 , mapped-by-core , 8192 x 8192 , 0.475663 , 9.67979e-05 , 0.461186 , 0.936946
38 , mapped-by-core , 8192 x 8192 , 0.985725 , 0.000102043 , 0.505253 , 1.49108
38 , mapped-by-core , 8192 x 8192 , 0.456276 , 0.000103951 , 0.426457 , 0.88284
39 , mapped-by-core , 8192 x 8192 , 0.515309 , 0.000103951 , 0.481387 , 0.996802
39 , mapped-by-core , 8192 x 8192 , 0.518672 , 9.98974e-05 , 0.473535 , 0.992309
39 , mapped-by-core , 8192 x 8192 , 0.523762 , 0.000101089 , 0.475203 , 0.999067
39 , mapped-by-core , 8192 x 8192 , 0.536595 , 0.00010705 , 0.475506 , 1.01221
39 , mapped-by-core , 8192 x 8192 , 0.529349 , 0.000110149 , 0.497216 , 1.02668
40 , mapped-by-core , 8192 x 8192 , 0.57714 , 0.000103951 , 0.533708 , 1.11095
40 , mapped-by-core , 8192 x 8192 , 0.573598 , 8.29697e-05 , 0.525945 , 1.09963
40 , mapped-by-core , 8192 x 8192 , 0.557964 , 9.29832e-05 , 0.573801 , 1.13186
40 , mapped-by-core , 8192 x 8192 , 0.581541 , 7.70092e-05 , 0.532861 , 1.11448
40 , mapped-by-core , 8192 x 8192 , 0.566119 , 0.000102043 , 0.533138 , 1.09936
41 , mapped-by-core , 8192 x 8192 , 0.613724 , 0.000100851 , 0.569112 , 1.18294
41 , mapped-by-core , 8192 x 8192 , 0.633639 , 8.2016e-05 , 0.563869 , 1.19759
41 , mapped-by-core , 8192 x 8192 , 0.628389 , 0.000113964 , 0.579017 , 1.20752
41 , mapped-by-core , 8192 x 8192 , 0.600922 , 0.000102997 , 0.566074 , 1.1671
41 , mapped-by-core , 8192 x 8192 , 0.593994 , 9.70364e-05 , 0.584331 , 1.17842
42 , mapped-by-core , 8192 x 8192 , 0.655966 , 0.000102043 , 0.60718 , 1.26325
42 , mapped-by-core , 8192 x 8192 , 0.64694 , 7.70092e-05 , 0.608201 , 1.25522
42 , mapped-by-core , 8192 x 8192 , 0.658469 , 9.70364e-05 , 0.615643 , 1.27421
42 , mapped-by-core , 8192 x 8192 , 0.649618 , 9.89437e-05 , 0.608867 , 1.25859
42 , mapped-by-core , 8192 x 8192 , 0.648386 , 0.000102043 , 0.624453 , 1.27294
43 , mapped-by-core , 8192 x 8192 , 0.684351 , 0.000103951 , 0.668918 , 1.35337
43 , mapped-by-core , 8192 x 8192 , 0.692391 , 9.91821e-05 , 0.647094 , 1.33959
43 , mapped-by-core , 8192 x 8192 , 0.674291 , 9.60827e-05 , 0.653194 , 1.32758
43 , mapped-by-core , 8192 x 8192 , 0.678165 , 9.799e-05 , 0.649719 , 1.32799
43 , mapped-by-core , 8192 x 8192 , 0.90213 , 9.58443e-05 , 0.698931 , 1.60116
44 , mapped-by-core , 8192 x 8192 , 0.725651 , 9.89437e-05 , 0.683422 , 1.40917
44 , mapped-by-core , 8192 x 8192 , 0.721387 , 0.000102997 , 0.694558 , 1.41605
44 , mapped-by-core , 8192 x 8192 , 0.737934 , 0.000105858 , 0.688165 , 1.42621
44 , mapped-by-core , 8192 x 8192 , 0.771552 , 0.000102997 , 0.689518 , 1.46118
44 , mapped-by-core , 8192 x 8192 , 0.892762 , 0.000108004 , 0.688015 , 1.58089
45 , mapped-by-core , 8192 x 8192 , 0.749963 , 0.000105143 , 0.729501 , 1.47957
45 , mapped-by-core , 8192 x 8192 , 0.777294 , 0.000106096 , 0.719983 , 1.49738
45 , mapped-by-core , 8192 x 8192 , 0.752938 , 0.000108004 , 0.727822 , 1.48087
45 , mapped-by-core , 8192 x 8192 , 1.0453 , 0.000104904 , 0.787291 , 1.83269
45 , mapped-by-core , 8192 x 8192 , 0.757708 , 0.000109196 , 0.737036 , 1.49485
46 , mapped-by-core , 8192 x 8192 , 0.791457 , 0.000102997 , 0.761647 , 1.55321
